万	萬
与	與
丑	醜
专	専
业	業
东	東
丝	糸
两	両
严	厳
丧	喪
个	個
丰	豊
临	臨
为	為
丽	麗
举	挙
么	麽
义	義
乌	烏
乐	楽
乔	喬
乘	乗
习	習
乡	郷
书	書
买	買
乱	亂
了	瞭
亏	虧
云	曇
亘	亙
亚	亜
产	産
亩	畝
亲	親
亵	褻
亿	億
仅	僅
仆	僕
从	従
仓	倉
付	払
仪	儀
们	們
价	価
众	衆
优	優
伙	夥
会	會
伛	傴
伞	傘
伟	偉
传	伝
伡	俥
伤	傷
伥	倀
伦	倫
伧	傖
伪	偽
伫	佇
余	餘
佛	仏
佣	傭
佥	僉
侠	俠
侦	偵
侧	側
侨	僑
侩	儈
侪	儕
侬	儂
俦	儔
俨	儼
俩	倆
俪	儷
俭	倹
借	藉
债	債
值	値
倾	傾
假	仮
偻	僂
偾	僨
偿	償
傤	儎
傥	儻
傧	儐
储	儲
傩	儺
儿	児
党	黨
兰	蘭
关	関
兴	興
养	養
兽	獣
冈	岡
册	冊
军	軍
农	農
冢	塚
冬	鼕
冯	馮
冰	氷
冲	沖
决	決
况	況
冻	凍
净	浄
准	準
凉	涼
减	減
几	幾
凤	鳳
凫	鳧
凭	憑
凯	凱
击	撃
凿	鑿
刍	芻
划	劃
刘	劉
则	則
刚	剛
创	創
别	別
刬	剗
刭	剄
刮	颳
制	製
刽	劊
刿	劌
剀	剴
剂	剤
剐	剮
剑	剣
剧	劇
剩	剰
劝	勧
办	辦
务	務
劢	勱
动	働
励	勵
劳	労
势	勢
勋	勲
勚	勩
匦	匭
匮	匱
区	區
千	韆
升	昇
华	華
协	協
单	単
卖	売
卜	蔔
卢	盧
卫	衛
卷	巻
厂	廠
厅	庁
历	暦
厉	厲
压	圧
厌	厭
厍	厙
厣	厴
县	県
叆	靉
叇	靆
双	雙
发	発
变	変
叠	畳
只	隻
叶	葉
号	號
叹	嘆
叽	嘰
吁	籲
吃	喫
合	閤
后	後
吓	嚇
吗	嗎
吞	呑
吨	噸
听	聞
启	啓
吴	呉
呒	嘸
呕	嘔
呖	嚦
呗	唄
员	員
呙	咼
呛	嗆
呜	嗚
咏	詠
咙	嚨
咛	嚀
咝	噝
咨	諮
响	響
哑	唖
哒	噠
哓	嘵
哕	噦
哗	嘩
哙	噲
哜	嚌
哝	噥
哟	喲
唝	嗊
唠	嘮
唡	啢
唢	嗩
唤	喚
啧	嘖
啬	嗇
啭	囀
啯	嘓
啰	囉
啴	嘽
喷	噴
喽	嘍
喾	嚳
嗫	囁
嗳	噯
嘤	嚶
嘱	囑
噜	嚕
团	団
园	園
困	睏
围	囲
囵	圇
图	図
圆	円
圈	圏
圣	聖
圹	壙
场	場
坏	壊
块	塊
坚	堅
坛	壇
坜	壢
坝	壩
坟	墳
坠	墜
垒	塁
垦	墾
垩	堊
垫	墊
垭	埡
垯	墶
垱	壋
垲	塏
垴	堖
埘	塒
埚	堝
堑	塹
堕	墮
塆	壪
增	増
壤	壌
壮	壯
声	聲
壳	殻
壶	壺
壸	壼
壹	壱
处	処
备	備
复	復
头	頭
夸	誇
夹	夾
夺	奪
奋	奮
奖	奨
妆	粧
妇	婦
妈	媽
妪	嫗
妫	嬀
姊	姉
姐	姉
姜	薑
姬	姫
娄	婁
娅	婭
娆	嬈
娇	嬌
娈	孌
娘	嬢
娱	娯
娲	媧
婳	嫿
婴	嬰
婵	嬋
婶	嬸
媭	嬃
嫒	嬡
嫔	嬪
孙	孫
孪	孿
宁	寧
实	実
宠	寵
审	審
宪	憲
宫	宮
家	傢
宽	寛
宾	賓
对	対
寻	尋
导	導
将	將
尔	爾
尘	塵
尧	堯
层	層
屏	屛
属	屬
屡	屢
屦	屨
屿	嶼
岁	歳
岂	豈
岖	嶇
岗	崗
岘	峴
岚	嵐
岛	島
岭	嶺
岽	崬
岿	巋
峃	嶨
峄	嶧
峡	峽
峣	嶢
峤	嶠
峦	巒
崂	嶗
崃	崍
崄	嶮
嵇	嵆
嵘	嶸
嵚	嶔
嵝	嶁
巅	巓
巢	巣
巩	鞏
巯	巰
币	幣
帅	帥
师	師
帏	幃
帐	帳
帘	簾
帜	幟
带	帯
帧	幀
帱	幬
帻	幘
帼	幗
干	乾
并	並
广	広
庄	荘
庆	慶
庐	廬
庑	廡
库	庫
应	応
庙	廟
废	廃
庼	廎
开	開
异	異
弃	棄
弍	弐
弗	弔
张	張
弪	弳
弯	彎
弹	弾
强	強
归	帰
录	錄
彟	彠
影	響
彻	徹
征	徴
御	禦
德	徳
忆	憶
忏	懺
志	誌
忧	憂
忾	愾
怀	懐
态	態
怂	慫
怃	憮
怄	慪
怅	悵
怆	愴
怜	憐
总	総
怼	懟
怿	懌
恋	戀
恳	懇
恶	悪
恸	慟
恺	愷
恻	惻
恼	悩
恽	惲
悬	懸
悭	慳
悯	憫
惊	驚
惠	恵
惧	懼
惨	慘
惩	懲
惫	憊
惬	愜
惮	憚
惯	慣
愈	癒
愤	憤
愦	憒
愿	願
懑	懣
戋	戔
戏	戯
戗	戧
战	戦
户	戸
戾	戻
才	纔
扑	撲
托	託
执	執
扩	拡
扪	捫
扫	掃
扬	揚
扰	擾
折	摺
抚	撫
抟	摶
抠	摳
抡	掄
抢	搶
护	護
报	報
担	擔
拔	抜
拜	拝
拟	擬
拢	攏
拣	揀
拥	擁
拦	攔
拧	擰
拨	撥
择	択
挂	掛
挚	摯
挛	攣
挜	掗
挝	撾
挞	撻
挟	挾
挠	撓
挢	撟
挤	擠
挥	揮
挦	撏
捞	撈
损	損
捡	撿
换	換
据	拠
掳	擄
掴	摑
掷	擲
掺	摻
掼	摜
插	挿
揭	掲
搀	攙
搁	擱
搂	摟
搅	攪
搜	捜
摄	摂
摅	攄
摇	揺
摈	擯
摊	攤
撄	攖
撵	攆
撷	擷
撸	擼
撺	攛
擞	擻
收	収
